suggestion_text,search_volume,cost_per_click
tribit vs jbl,40,0.4
tribit vs jbl,40,0.4
tribit vs jbl,40,0.4
tribit vs jbl,40,0.4
tribit vs anker speaker,10,0.0
tribit vs anker speaker,10,0.0
tribit stormbox blast 2 vs jbl boombox 3,10,0.0
