"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","descriptionLinks/4/text","descriptionLinks/4/url","descriptionLinks/5/text","descriptionLinks/5/url","descriptionLinks/6/text","descriptionLinks/6/url","descriptionLinks/7/text","descriptionLinks/7/url","descriptionLinks/8/text","descriptionLinks/8/url","descriptionLinks/9/text","descriptionLinks/9/url","descriptionLinks/10/text","descriptionLinks/10/url","descriptionLinks/11/text","descriptionLinks/11/url","descriptionLinks/12/text","descriptionLinks/12/url","descriptionLinks/13/text","descriptionLinks/13/url","descriptionLinks/14/text","descriptionLinks/14/url","descriptionLinks/15/text","descriptionLinks/15/url","descriptionLinks/16/text","descriptionLinks/16/url","descriptionLinks/17/text","descriptionLinks/17/url","descriptionLinks/18/text","descriptionLinks/18/url","descriptionLinks/19/text","descriptionLinks/19/url","descriptionLinks/20/text","descriptionLinks/20/url","descriptionLinks/21/text","descriptionLinks/21/url","descriptionLinks/22/text","descriptionLinks/22/url","descriptionLinks/23/text","descriptionLinks/23/url","descriptionLinks/24/text","descriptionLinks/24/url","descriptionLinks/25/text","descriptionLinks/25/url","descriptionLinks/26/text","descriptionLinks/26/url","descriptionLinks/27/text","descriptionLinks/27/url","descriptionLinks/28/text","descriptionLinks/28/url","descriptionLinks/29/text","descriptionLinks/29/url","descriptionLinks/30/text","descriptionLinks/30/url","descriptionLinks/31/text","descriptionLinks/31/url","descriptionLinks/32/text","descriptionLinks/32/url","descriptionLinks/33/text","descriptionLinks/33/url","descriptionLinks/34/text","descriptionLinks/34/url","descriptionLinks/35/text","descriptionLinks/35/url","descriptionLinks/36/text","descriptionLinks/36/url","descriptionLinks/37/text","descriptionLinks/37/url","descriptionLinks/38/text","descriptionLinks/38/url","descriptionLinks/39/text","descriptionLinks/39/url","descriptionLinks/40/text","descriptionLinks/40/url","descriptionLinks/41/text","descriptionLinks/41/url","descriptionLinks/42/text","descriptionLinks/42/url","duration","hasCreatorHeart","hashtags/0","hashtags/1","hashtags/2","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@RetroRich91","false",,,,,"Ugzd056_Br9hnfCCHI54AaABAg","After today I'm liking any more shorts from you until I get my lewlater back 😅",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"6"
"@DMG1723","false",,,,,"UgwK21xC8-Y1SjNlai14AaABAg","This speaker is nice got it Friday and the bass has some serious rumble EQing it to taste is a must and there is a new update that made it sound a little cleaner.",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
"@SoLoCruizeR2o3","false",,,,,"UgxI3z8kFtr_k951fRR4AaABAg","U know he got that one on the house lol my tribit lasted a year then I had to pay 30 to get the usb port replaced now its still bumpin 40watts of love juice 😊",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","3 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
"@reycordoviz1639","false",,,,,"UgzHC2TOUDwS_fSEMMx4AaABAg","Sheesh! I love it!",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","3 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
"@Lychegsye-nc6td","false",,,,,"UgxGY2OPRvELin9UTbF4AaABAg","is it mono or stereo speaker? does it support left n right channels?",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago (edited)","1",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"1"
"@ivailoivanov2809","false",,,,,"UgwttF9pp5n60Zwrxh54AaABAg","Why  do you not  make Jbl products reviews ?",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","3 months ago (edited)","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
"@deliavillanueva3967","false",,,,,"UgzWus-97JzaCV4cdQB4AaABAg","Do you love it",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","2 weeks ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
"@vibhutivashishth2000","false",,,,,"UgzMtMlxqFJm3E1ni_F4AaABAg","Is this discount valid for indians as well bruh",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","3 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
"@LxftRxght","false",,,,,"UgyInw6fY1_FPyn1Plx4AaABAg","Hey unboxtherapy,
What's the beat/song that transitions out of Drake's Nonstop at the end?",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","5 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
"@miksumasterjbl8899","false",,,,,"UgwxFsEUST0CRSQkkxF4AaABAg","Upper bass!!!!
😂😂😂😂😂
I prefer JBL Boombox 3, because deep bass!!!!
Yeah Tribit Stormbox Blast 2 is louder too, but I don't care.
I like DEEP BASS!!!!

I don't buy Subwoofers, I buy portable speakers ONLY.

JBL Boombox 3 and JBL Boombox 3 WiFi have the deepest bass of Boomboxes, at least for now, under 1000€.

JBL Boombox 4 will be even deeper, hopefully.
Hopefully same tuning as in JBL Boombox 3 WiFi.
Deep bass heavy.",,"84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/gDOjHj1RZeM","4 months ago","0",,,,,"Blast the BASS💦","comment",,"gDOjHj1RZeM",,"0"
