author,authorIsChannelOwner,channelId,channelName,channelUrl,channelUsername,cid,comment,comments,commentsCount,date,descriptionLinks,duration,formats,hasCreatorHeart,id,input,isMonetized,likes,pageUrl,publishedTimeText,replyCount,replyToCid,subtitles,text,thumbnailUrl,title,type,url,videoId,viewCount,voteCount
,,UCnwjKuO1tLH1EJNEQXfJxaA,David Medeiros,https://www.youtube.com/@DavidMedeiros-f6g,DavidMedeiros-f6g,,,,0,2025-02-20T17:47:17.000Z,,,,,dwW6SMSfJiI,https://www.youtube.com//shorts/dwW6SMSfJiI,,3,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker #bass #basslovers #fyp,shorts,https://www.youtube.com//shorts/dwW6SMSfJiI,,784,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-01-29T16:07:31.000Z,,,,,DB00J3pIZXk,https://www.youtube.com//shorts/DB00J3pIZXk,,72,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/DB00J3pIZXk,,6044,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-07T14:58:29.000Z,,,,,rHgwG561UfY,https://www.youtube.com//shorts/rHgwG561UfY,,17,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/rHgwG561UfY,,1597,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-01-24T16:09:15.000Z,,,,,lEZ9sb505yY,https://www.youtube.com//shorts/lEZ9sb505yY,,9,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/lEZ9sb505yY,,598,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-12T15:15:23.000Z,,,,,rBY0eqpzAfo,https://www.youtube.com//shorts/rBY0eqpzAfo,,18,,,,,,,,#bluetoothspeaker #speaker #tribit#waterproofspeaker #ledspeaker #showerspeaker,shorts,https://www.youtube.com//shorts/rBY0eqpzAfo,,1168,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-04T15:22:35.000Z,,,,,BNiRMwNW8-s,https://www.youtube.com//shorts/BNiRMwNW8-s,,92,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/BNiRMwNW8-s,,9357,
,,UC3fPLocxaAcbyo83fEa5BcQ,Bigteddybear Skitina,https://www.youtube.com/@BigteddybearSkitina,BigteddybearSkitina,,,,0,2025-02-11T14:22:40.000Z,,,,,JsTZB8c6hXM,https://www.youtube.com//shorts/JsTZB8c6hXM,,4,,,,,,,,Foam Party:TRIBIT Edition #bluetoothspeaker #speaker #tribit#waterproofspeaker #ledspeaker,shorts,https://www.youtube.com//shorts/JsTZB8c6hXM,,489,
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-01-23T11:12:38.000Z,,,,,XeCK_Ojs6gM,https://www.youtube.com//shorts/XeCK_Ojs6gM,,6,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/XeCK_Ojs6gM,,636,
@jeepfan12,false,,,,,UgxiIydll8654V67BEB4AaABAg,I use the Jbl Flip 5 in my bathroom,,1,,,,,false,,,,,https://www.youtube.com//shorts/XzxgLpShlwU,1 month ago,0,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,comment,,XzxgLpShlwU,,0
,,UCmy9G9HWEBsAN6pLOADbHhA,Delimiro Orozc,https://www.youtube.com/@DelimiroOrozc,DelimiroOrozc,,,,0,2025-02-01T16:05:35.000Z,,,,,8u_fgQaRzR4,https://www.youtube.com//shorts/8u_fgQaRzR4,,29,,,,,,,,#bluetoothspeaker #speaker #tribit #waterproofspeaker,shorts,https://www.youtube.com//shorts/8u_fgQaRzR4,,3779,
