"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","duration","hasCreatorHeart","hashtags/0","hashtags/1","hashtags/2","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@Watmakendu","false",,,,,"Ugy-SJNnfERGgYabn_N4AaABAg","Bester deutschsprachiger Channel zum Thema Lautsprecher/audio",,"10",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","8 months ago (edited)","6",,,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","comment",,"yOAnHd6t_K4",,"4"
"@CaddyGarage","false",,,,,"Ugxl6g0XBNMaKU_YHLZ4AaABAg","Hallo, mich würde mal interessieren wieviele von den Lautsprechern kann man koppeln? Das geht irgendwie nicht aus der Beschreibung hervor. 
Ansonsten tolles Video.",,"10",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","7 months ago","0",,,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","comment",,"yOAnHd6t_K4",,"0"
"@rush30111981","false",,,,,"UgxFWjTQzQcUPzUncGF4AaABAg","Hallöchen Kann die Luna TWS ? Danke",,"10",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","3 months ago","1",,,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","comment",,"yOAnHd6t_K4",,"0"
"@RatnamalaDapke","false",,,,,"Ugw7XGeRPJtByTTw9Zp4AaABAg.A6xCcrtp04SA7Cc3DJqcY5","How you know it doesn't produce audio below 40?",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","7 months ago","0","Ugw7XGeRPJtByTTw9Zp4AaABAg",,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","reply",,"4-LBZ6_JkVo",,"0"
"@Sivakumar-v5s6d","false",,,,,"Ugw7XGeRPJtByTTw9Zp4AaABAg.A6xCcrtp04SA7Co1FI7FHY"," @RatnamalaDapke  i bought it and tested. Finally returned",,"14",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=4-LBZ6_JkVo","7 months ago","0","Ugw7XGeRPJtByTTw9Zp4AaABAg",,,,"TRIBIT - STORMBOX 2 - Portable Wireless Speaker with Bass - Unboxing & Review","reply",,"4-LBZ6_JkVo",,"0"
"@kovenkore","false",,,,,"UgwrmbzdH8jNPVRzgOJ4AaABAg","Merci pour l'info ! profite bien des vacances et du soleil ahah",,"1",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/shorts/doXZE4FIhZU?feature=share","7 months ago","0",,,,,"-30% Tribit StormBox Mini 💰 #tribit #stormboxmini","comment",,"doXZE4FIhZU",,"0"
"@ClipLarue","false",,,,,"Ugy-SJNnfERGgYabn_N4AaABAg.A5OhTC-O5CyA5Oho8m8GBa","Gebe ich dir recht, würde er jetzt noch regelmäßig auf Kommentare eingehen bzw beantworten.",,"10",,,,,,,,,,,,"true",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","8 months ago","0","Ugy-SJNnfERGgYabn_N4AaABAg",,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","reply",,"yOAnHd6t_K4",,"1"
"@AudioTechniker1","true",,,,,"Ugy-SJNnfERGgYabn_N4AaABAg.A5OhTC-O5CyA5OqF2IlnON","Hey 👋 

Nehme ich als Feedback auf hast auch recht 🙋‍♂️",,"10",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","8 months ago","0","Ugy-SJNnfERGgYabn_N4AaABAg",,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","reply",,"yOAnHd6t_K4",,"0"
"@AudioTechniker1","true",,,,,"Ugy-SJNnfERGgYabn_N4AaABAg.A5OhTC-O5CyA5OqHeRs_3F","Hey 👋 

Danke dir freut mich zu hören 😊",,"10",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","8 months ago","0","Ugy-SJNnfERGgYabn_N4AaABAg",,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","reply",,"yOAnHd6t_K4",,"0"
"@ClipLarue","false",,,,,"Ugy-SJNnfERGgYabn_N4AaABAg.A5OhTC-O5CyA5P15fAxulo"," @AudioTechniker1  war auch nur nett gemeintes Feedback :) 

Mal eine Frage: möchte mir einen neuen Lautsprecher zulegen, habe folgende Lautsprecher im Visier. Teufel Boomster, jbl encore, harman kardon Go + Play 3 oder den w King x20. Mir ist einzig und allein der Sound wichtig. Welchen würdest du mir da rein von der soundqualität empfehlen?",,"10",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","8 months ago (edited)","0","Ugy-SJNnfERGgYabn_N4AaABAg",,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","reply",,"yOAnHd6t_K4",,"0"
"@AudioTechniker1","true",,,,,"Ugy-SJNnfERGgYabn_N4AaABAg.A5OhTC-O5CyA5QTzt0zb3r","Ich würde auf die EarFun UBoom X warten 🙋‍♂️",,"10",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","8 months ago","0","Ugy-SJNnfERGgYabn_N4AaABAg",,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","reply",,"yOAnHd6t_K4",,"0"
"@ClipLarue","false",,,,,"Ugy-SJNnfERGgYabn_N4AaABAg.A5OhTC-O5CyA5QVU3KClEu"," @AudioTechniker1  vielen Dank erstmal für die Antwort. Ja das wollte ich eigentlich tatsächlich so machen, aber der kommt erst Ende august Anfang September raus. Das ist mir zu spät würde mir gerne jetzt ein kaufen, welcher von den genannten ist der beste? Vllt könntest du sogar ein Ranking machen bsp 

1 jbl Encore 
2 teufel 
Etc…

Wäre sehr sehr nett",,"10",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=yOAnHd6t_K4","8 months ago","0","Ugy-SJNnfERGgYabn_N4AaABAg",,,,"Tribit StormBox 2 Erster Eindruck und Soundcheck","reply",,"yOAnHd6t_K4",,"0"
"@nrbaria4882","false",,,,,"UgwGcMdLnvpVqWye04Z4AaABAg","Which is best Jbl flip 5 ya storm box 2?",,"2",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=VnNzMxlDaDA","7 months ago","1",,,,,"Tribit StormBox 2 | Unboxing & Review","comment",,"VnNzMxlDaDA",,"1"
"@livelife00","false",,,,,"UgwkzfVn63dtNXFHdE14AaABAg","Galing naman ng editing🥰",,"1",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/watch?v=s1wiihJ-C6k","7 months ago","0",,,,,"Tribit StormBox2 360° Surround Sound! - 4K Unboxing and Test","comment",,"s1wiihJ-C6k",,"1"
"@TechNuovo","true",,,,,"UgzKFv2XwVPmLjYcNDt4AaABAg.A7aW3KlPcX2A7aafMM7cJ9","Not sure you got the Sony model number right, but I'd go Sony.",,"6",,,,,,,,,,,,"false",,,,,,,,,,"https://www.youtube.com/shorts/DKI_uKrHFg4","7 months ago","0","UgzKFv2XwVPmLjYcNDt4AaABAg",,,,"Unboxing the TRIBIT StormBox 2 Bluetooth speaker.","reply",,"DKI_uKrHFg4",,"0"
